message,is_otp,split
Enter 569320 to complete your login.,1,train
Hmm ill have to think about it... ok you're forgiven! =D,0,train
Your verification code is 130126.,1,train
Use 830037 to verify your account.,1,train
Security code: 624523. Do not share.,1,train
Do I? I thought I put it back in the box,0,train
I will be outside office take all from there,0,train
"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",0,train
Your verification code is 440053.,1,train
Use 127813 to verify your account.,1,train
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",0,train
Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,0,val
Security code: 854690. Do not share.,1,train
Your verification code is 445335.,1,val
Use 879630 to verify your account.,1,train
Use 912808 to verify your account.,1,train
Your verification code is 553717.,1,val
"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs!",0,train
Enter 570103 to complete your login.,1,train
Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..,0,train
149404 is your OTP to log in.,1,train
Security code: 632053. Do not share.,1,train
Your verification code is 199619.,1,train
Do u noe wat time e place dat sells 4d closes?,0,train
Security code: 200562. Do not share.,1,train
Use 788955 to verify your account.,1,train
405880 is your OTP to log in.,1,train
U should have made an appointment,0,train
Use 554638 to verify your account.,1,train
Enter 363287 to complete your login.,1,train
Security code: 634100. Do not share.,1,train
Security code: 878929. Do not share.,1,train
Security code: 859736. Do not share.,1,train
Dad went out oredi...,0,train
Enter 297053 to complete your login.,1,train
Your verification code is 135074.,1,train
Enter 983393 to complete your login.,1,train
Security code: 248046. Do not share.,1,train
Urgent: Your bank account is compromised. Call 736515 now.,1,val
Congratulations! You've won a free gift. Claim now using code 564590.,1,train
Use 737332 to verify your account.,1,train
Security code: 546584. Do not share.,1,train
Get a loan approved instantly. Reply with 955669.,1,train
Your account will be locked. Enter 671752 at our fake portal.,1,train
Then she dun believe wat?,0,val
Oh just getting even with u.... u?,0,val
126761 is your OTP to log in.,1,train
Enter 273391 to complete your login.,1,train
Enter 573653 to complete your login.,1,train
Your verification code is 271412.,1,train
165103 is your OTP to log in.,1,train
Congratulations! You've won a free gift. Claim now using code 190216.,1,train
Enter 939829 to complete your login.,1,train
Security code: 716819. Do not share.,1,train
Congratulations! You've won a free gift. Claim now using code 133215.,1,train
"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",0,train
Your verification code is 158003.,1,val
I'll text now! All creepy like so he won't think that we forgot,0,val
Use 565049 to verify your account.,1,train
Your verification code is 577729.,1,train
Enter 697983 to complete your login.,1,train
Security code: 259883. Do not share.,1,train
HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX,0,train
Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net cost£3.75max,0,train
Use 199492 to verify your account.,1,train
534332 is your OTP to log in.,1,train
If you have belive me. Come to my home.,0,train
263267 is your OTP to log in.,1,train
Use 827763 to verify your account.,1,train
Win a new iPhone by entering code 233831 here!,1,train
Now only i reached home. . . I am very tired now. . I will come tomorro,0,train
Whens your radio show?,0,train
Ok,0,val
Security code: 922346. Do not share.,1,train
Security code: 772195. Do not share.,1,train
Enter 742281 to complete your login.,1,train
"Pls send me a comprehensive mail about who i'm paying, when and how much.",0,train
"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!",0,val
Your verification code is 924171.,1,train
Your verification code is 813584.,1,train
627935 is your OTP to log in.,1,train
"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",0,train
Takin a shower now but yeah I'll leave when I'm done,0,train
Enter 955058 to complete your login.,1,train
431411 is your OTP to log in.,1,train
Enter 538150 to complete your login.,1,train
Enter 433634 to complete your login.,1,train
Enter 767446 to complete your login.,1,val
Use 429908 to verify your account.,1,train
374176 is your OTP to log in.,1,train
Win a new iPhone by entering code 692838 here!,1,train
Enter 970668 to complete your login.,1,train
Enter 100746 to complete your login.,1,train
940258 is your OTP to log in.,1,train
Your verification code is 460769.,1,train
Enter 842081 to complete your login.,1,train
"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop",0,train
Enter 296476 to complete your login.,1,train
What u talking bout early morning? It's almost noon where your at!,0,train
Urgent: Your bank account is compromised. Call 115057 now.,1,train
Use 468629 to verify your account.,1,val
Security code: 463562. Do not share.,1,train
777806 is your OTP to log in.,1,train
Your verification code is 161852.,1,val
I went to project centre,0,train
Use 204726 to verify your account.,1,train
Security code: 133513. Do not share.,1,train
I'm very happy for you babe ! Woo hoo party on dude!,0,train
Use 722377 to verify your account.,1,train
Security code: 595057. Do not share.,1,val
Sday only joined.so training we started today:),0,train
Security code: 456965. Do not share.,1,train
Your verification code is 162586.,1,train
Enter 285831 to complete your login.,1,train
Use 749786 to verify your account.,1,val
Aiyah u did ok already lar. E nydc at wheellock?,0,train
Security code: 321074. Do not share.,1,train
489595 is your OTP to log in.,1,val
567915 is your OTP to log in.,1,train
Your verification code is 823593.,1,train
She's fine. Good to hear from you. How are you my dear? Happy new year oh.,0,val
Security code: 705132. Do not share.,1,train
Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,0,train
Your verification code is 692564.,1,train
Er mw im filled tuth is aight,0,train
Well you told others you'd marry them...,0,train
810806 is your OTP to log in.,1,train
Security code: 743866. Do not share.,1,val
268042 is your OTP to log in.,1,train
896383 is your OTP to log in.,1,train
Use 500540 to verify your account.,1,train
Enter 446000 to complete your login.,1,train
Your verification code is 973854.,1,train
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386,0,train
226219 is your OTP to log in.,1,val
Security code: 397180. Do not share.,1,train
I know you are. Can you pls open the back?,0,train
Aiyah ok wat as long as got improve can already wat...,0,train
Enter 135973 to complete your login.,1,train
Your verification code is 642054.,1,train
"Carlos took a while (again), we leave in a minute",0,train
Your verification code is 887105.,1,train
Enter 683231 to complete your login.,1,train
Your verification code is 146840.,1,train
See you there!,0,train
"Ah, well that confuses things, doesn‘t it?",0,train
Meeting u is my work. . . Tel me when shall i do my work tomorrow,0,train
Security code: 160443. Do not share.,1,train
Security code: 407601. Do not share.,1,val
Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,0,train
Enter 912804 to complete your login.,1,train
Your verification code is 682639.,1,train
Enter 698392 to complete your login.,1,val
Use 597525 to verify your account.,1,train
Use 328724 to verify your account.,1,train
Use 641495 to verify your account.,1,train
432965 is your OTP to log in.,1,train
Enter 316808 to complete your login.,1,train
Use 300722 to verify your account.,1,train
326946 is your OTP to log in.,1,train
Enter 275908 to complete your login.,1,train
Mm i had my food da from out,0,val
Security code: 773349. Do not share.,1,train
Security code: 915122. Do not share.,1,train
685018 is your OTP to log in.,1,train
Why nothing. Ok anyway give me treat,0,train
Enter 690768 to complete your login.,1,train
Your verification code is 743750.,1,train
Sen told that he is going to join his uncle finance in cbe,0,train
Congratulations! You've won a free gift. Claim now using code 385801.,1,train
Use 150162 to verify your account.,1,train
Why do you ask princess?,0,train
I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX,0,train
Your verification code is 287962.,1,train
I'm not sure if its still available though,0,train
Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks,0,train
Then we wait 4 u lor... No need 2 feel bad lar...,0,train
You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,0,train
Security code: 117546. Do not share.,1,train
"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow",0,train
U still havent got urself a jacket ah?,0,val
Right it wasnt you who phoned it was someone with a number like yours!,0,train
Your verification code is 330764.,1,train
Security code: 643715. Do not share.,1,train
Your verification code is 137659.,1,train
Your verification code is 140507.,1,train
Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.,0,train
Security code: 327387. Do not share.,1,train
Does uncle timi help in clearing cars,0,train
Security code: 757727. Do not share.,1,train
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0,train
Security code: 981526. Do not share.,1,train
Speaking of does he have any cash yet?,0,train
Get a loan approved instantly. Reply with 957937.,1,train
He is there. You call and meet him,0,train
Send to someone else :-),0,train
"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",0,train
Security code: 228229. Do not share.,1,train
Enter 396570 to complete your login.,1,train
Your verification code is 550067.,1,train
ALSO TELL HIM I SAID HAPPY BIRTHDAY,0,val
So that takes away some money worries,0,train
Use 942109 to verify your account.,1,train
"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X.",0,train
Security code: 288933. Do not share.,1,train
Security code: 946482. Do not share.,1,train
Your account will be locked. Enter 265142 at our fake portal.,1,train
Your verification code is 945381.,1,train
Your account will be locked. Enter 665954 at our fake portal.,1,train
Security code: 581783. Do not share.,1,train
"Uncle G, just checking up on you. Do have a rewarding month",0,train
Win a new iPhone by entering code 424563 here!,1,train
Jay's getting really impatient and belligerent,0,train
Your account will be locked. Enter 561811 at our fake portal.,1,train
783789 is your OTP to log in.,1,train
Your verification code is 268726.,1,train
Every day i use to sleep after  &lt;#&gt;  so only.,0,train
We left already we at orchard now.,0,train
Use 825086 to verify your account.,1,train
Use 516691 to verify your account.,1,train
Security code: 806386. Do not share.,1,train
Your verification code is 286324.,1,train
Enter 690337 to complete your login.,1,train
Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,0,val
Security code: 375509. Do not share.,1,train
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",0,train
Security code: 474025. Do not share.,1,train
Security code: 376004. Do not share.,1,train
Your verification code is 219496.,1,train
You have 1 new voicemail. Please call 08719181503,0,train
"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?",0,train
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",0,train
Use 310723 to verify your account.,1,train
Enter 508193 to complete your login.,1,train
Am in gobi arts college,0,train
Congratulations! You've won a free gift. Claim now using code 406239.,1,val
Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,0,train
Use 991898 to verify your account.,1,train
And maybe some pressies,0,train
Use 121191 to verify your account.,1,train
Your verification code is 265581.,1,train
Howz that persons story,0,train
Its ok..come to my home it vl nice to meet and v can chat..,0,train
Use 695985 to verify your account.,1,train
986850 is your OTP to log in.,1,train
Don know:)this week i'm going to tirunelvai da.,0,train
Enter 423083 to complete your login.,1,train
Babe !!!! I LOVE YOU !!!! *covers your face in kisses*,0,train
"My planning usually stops at ""find hella weed, smoke hella weed""",0,train
Enter 249444 to complete your login.,1,train
Your verification code is 257195.,1,train
Your verification code is 863420.,1,train
Security code: 978557. Do not share.,1,train
Security code: 184164. Do not share.,1,train
Fffff. Can you text kadeem or are you too far gone,0,train
Your verification code is 219057.,1,train
Nothin comes to my mind. Ü help me buy hanger lor. Ur laptop not heavy?,0,train
How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,0,train
Enter 247770 to complete your login.,1,train
Use 729551 to verify your account.,1,train
Enter 601124 to complete your login.,1,train
Enter 297153 to complete your login.,1,train
Your verification code is 792836.,1,train
Wot about on wed nite I am 3 then but only til 9!,0,val
"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",0,val
Use 100450 to verify your account.,1,train
Your verification code is 315706.,1,val
"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",0,train
229086 is your OTP to log in.,1,train
Auntie huai juan never pick up her phone,0,train
Hi ....My engagement has been fixd on  &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.,0,val
Security code: 368890. Do not share.,1,val
Use 565845 to verify your account.,1,train
793664 is your OTP to log in.,1,train
146132 is your OTP to log in.,1,train
Security code: 427577. Do not share.,1,train
Yes princess! I want to make you happy...,0,train
Security code: 685057. Do not share.,1,train
678841 is your OTP to log in.,1,train
Your verification code is 882456.,1,train
FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for £3/wk,0,val
No de. But call me after some time. Ill tell you k,0,train
503417 is your OTP to log in.,1,train
Uncle Abbey! Happy New Year. Abiola,0,train
Security code: 413207. Do not share.,1,train
Use 790012 to verify your account.,1,train
Security code: 777475. Do not share.,1,val
Use 690748 to verify your account.,1,val
Security code: 602036. Do not share.,1,train
Reply to win £100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,0,train
Well. Im computerless. Time to make some oreo truffles,0,train
Use 125122 to verify your account.,1,val
Your verification code is 955454.,1,train
We don call like  &lt;#&gt;  times oh. No give us hypertension oh.,0,val
Security code: 806550. Do not share.,1,train
Enter 665502 to complete your login.,1,train
972751 is your OTP to log in.,1,train
I'm in a movie... Collect car oredi...,0,train
Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,0,train
Your verification code is 287024.,1,train
Go chase after her and run her over while she's crossing the street,0,train
Security code: 150116. Do not share.,1,train
Enter 736705 to complete your login.,1,train
545235 is your OTP to log in.,1,train
I cant pick the phone right now. Pls send a message,0,train
811185 is your OTP to log in.,1,train
Ok i'm coming home now.,0,train
Use 349552 to verify your account.,1,train
"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",0,train
S..antha num corrct dane,0,train
"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me",0,train
Yup bathe liao...,0,val
596674 is your OTP to log in.,1,val
lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,0,train
"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly",0,val
Your verification code is 707699.,1,train
719423 is your OTP to log in.,1,train
Too late. I said i have the website. I didn't i have or dont have the slippers,0,train
YO YO YO BYATCH WHASSUP?,0,train
Enter 315090 to complete your login.,1,train
"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy",0,train
Security code: 667450. Do not share.,1,train
Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082,0,train
Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,0,train
Security code: 867796. Do not share.,1,train
How much would it cost to hire a hitman,0,val
Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,0,train
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,0,train
Enter 374178 to complete your login.,1,train
"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?",0,train
Your verification code is 248891.,1,train
Use 775009 to verify your account.,1,train
Your verification code is 908174.,1,train
We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,0,train
Security code: 355228. Do not share.,1,train
Use 123708 to verify your account.,1,train
Enter 263292 to complete your login.,1,train
When're you guys getting back? G said you were thinking about not staying for mcr,0,train
Get a loan approved instantly. Reply with 664991.,1,train
But i dint slept in afternoon.,0,train
Your verification code is 375747.,1,train
Fuck cedar key and fuck her (come over anyway tho),0,train
Security code: 665902. Do not share.,1,train
Is there coming friday is leave for pongal?do you get any news from your work place.,0,train
389816 is your OTP to log in.,1,train
380684 is your OTP to log in.,1,train
Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/,0,train
Your verification code is 894757.,1,train
Use 448815 to verify your account.,1,train
They r giving a second chance to rahul dengra.,0,val
Security code: 708456. Do not share.,1,train
Prakesh is there know.,0,train
HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX,0,train
451911 is your OTP to log in.,1,train
Security code: 294325. Do not share.,1,train
Your verification code is 231533.,1,train
"A boy was late 2 home. His father: ""POWER OF FRNDSHIP""",0,train
Use 978819 to verify your account.,1,train
Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,0,train
Urgent: Your bank account is compromised. Call 755249 now.,1,train
Your account will be locked. Enter 216182 at our fake portal.,1,train
"Whatever, juliana. Do whatever you want.",0,train
Enter 115821 to complete your login.,1,train
Use 321347 to verify your account.,1,train
Sac will score big hundred.he is set batsman:-),0,train
Use 953852 to verify your account.,1,train
Good. do you think you could send me some pix? I would love to see your top and bottom...,0,train
Dunno lei shd b driving lor cos i go sch 1 hr oni.,0,val
Use 138043 to verify your account.,1,train
"It'll be tough, but I'll do what I have to",0,train
"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)",0,train
Security code: 707492. Do not share.,1,train
Use 481839 to verify your account.,1,train
"Cool, text me when you're ready",0,train
Your verification code is 490228.,1,train
Enter 835395 to complete your login.,1,train
Enter 861293 to complete your login.,1,train
Security code: 226907. Do not share.,1,train
Your verification code is 603194.,1,train
"K, I'll work something out",0,train
469408 is your OTP to log in.,1,train
Enter 673271 to complete your login.,1,train
Your verification code is 811395.,1,train
Security code: 753855. Do not share.,1,train
Lol well don't do it without me. We could have a big sale together.,0,train
Use 654451 to verify your account.,1,train
Win a new iPhone by entering code 565305 here!,1,train
That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,0,val
458255 is your OTP to log in.,1,train
Use 223424 to verify your account.,1,train
859698 is your OTP to log in.,1,train
Now press conference da:),0,train
Enter 676051 to complete your login.,1,train
Security code: 913757. Do not share.,1,train
Use 302045 to verify your account.,1,val
Will purchase d stuff today and mail to you. Do you have a po box number?,0,train
Security code: 514895. Do not share.,1,train
Enter 266319 to complete your login.,1,train
197139 is your OTP to log in.,1,val
Use 415364 to verify your account.,1,train
Your verification code is 346214.,1,train
459750 is your OTP to log in.,1,train
Ha ha ha good joke. Girls are situation seekers.,0,train
Tmr then ü brin lar... Aiya later i come n c lar... Mayb ü neva set properly ü got da help sheet wif ü...,0,train
Enter 803080 to complete your login.,1,train
Use 472397 to verify your account.,1,val
689965 is your OTP to log in.,1,train
Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,0,train
Use 867335 to verify your account.,1,val
Your verification code is 294700.,1,train
